Name,Before,After,Difference,Done?
corard,1000000000006210,1000000000008770,2560,
homelessshotgun,148610,151100,2490,
trypoxd,143920,146470,2550,
uszl3ss,112130,113760,1630,
bnzy,105530,107200,1670,
rodimuspower,102190,104580,2390,
skilly1x,98610,101170,2560,
ghcboss,96690,98440,1750,
rainmaker,95570,98100,2530,
robbiemun,95410,96780,1370,
gorgeousgrimess,91380,93200,1820,
copywastaken,89080,90980,1900,
rimastino,84810,87020,2210,
corardbot,83740,86170,2430,
fast_scoped,77330,78880,1550,
anotherttvviewer,77290,79620,2330,
xrubyrobsonn,76880,79120,2240,
olivzr,75450,77020,1570,
imsocranky_,63010,65370,2360,
feet,57560,58770,1210,
chomposi,56860,58410,1550,
yeliabb,54900,57150,2250,
spiketrapclair,50490,52800,2310,
rhysghux,50210,52340,2130,
cmcarrotz_,49730,51090,1360,
zakgamer27,49630,51270,1640,
thomaskeig,45100,47520,2420,
lispit,44780,46430,1650,
xc4lx,41500,42930,1430,
xboyce_,39490,41030,1540,
keylimepie999,37750,40280,2530,
samanthac92,37510,39350,1840,
iedvinx,37450,40000,2550,
sleepyenderr,36920,38860,1940,
adambrntn,35170,37190,2020,
itshenchman,34670,37060,2390,
imsocalgal,34460,36920,2460,
creativetwch,34260,35760,1500,
chronicgo,31910,34150,2240,
archiepog,31880,33130,1250,
samuraiplayzz999,31180,33700,2520,
thesevi,29890,31180,1290,
omeram_,28680,30460,1780,
dr_phoenix42,26200,27610,1410,
elysian,25190,27710,2520,
wpfn_mouse,25110,27400,2290,
teslafamily,23880,25500,1620,
hmoore033,23640,24990,1350,
allroadsleadtothefarm,22690,25200,2510,
iitagg,22570,25040,2470,
jyphor,22230,23550,1320,
ohbot,22020,24260,2240,
tfl_copper,21890,23750,1860,
tyler8x,20000,22310,2310,
ziforr,19850,21370,1520,
yowjj,19440,21450,2010,
jja3_,19440,21450,2010,
rackylack,19130,20820,1690,
magggiie,18910,20440,1530,
pavitian,18010,20380,2370,
farminggurl,17970,20420,2450,
emilymusicofficial,17580,20030,2450,
kapitaenlangsam,16350,18340,1990,
cozzer15,16250,18540,2290,
sophie2675,15600,17720,2120,
bambozlemp4,13890,16420,2530,
neb2603,13490,15890,2400,
casinothanks,13480,15690,2210,
hazdeannn,13060,14280,1220,
creatisbot,12620,15180,2560,
merl,11960,14520,2560,
ttvheadhunter_5,11570,14080,2510,
commanderroot,11290,13770,2480,
youngkid___,11180,12740,1560,
jesslouiseb_,11160,13670,2510,
streamelements,10950,13360,2410,
v_and_k,10510,12840,2330,
rj81,10460,12930,2470,
ttvdabbing123,9170,11060,1890,
yougotamic,8790,10880,2090,
jolea2631,8600,10030,1430,
raderz__,8070,9540,1470,
e2z2dream_,7760,10110,2350,
ultrahasswag,7420,8760,1340,
brobbs44,7280,8740,1460,
mythicalgg1,6630,8750,2120,
frostbyte01_,6480,7820,1340,
aten,6370,8720,2350,
bigbigjosh,5930,8470,2540,
yamickle,5710,8040,2330,
martirs_,5540,6830,1290,
jazzyy5,5360,7700,2340,
xquick_shifterx,5260,7670,2410,
erika_fnbr,5230,7400,2170,
nihalsh25,4850,7140,2290,
exoticjack9,4850,6850,2000,
prakharplayz,4830,7290,2460,
ghontiya,4250,6470,2220,
elbretweets,4220,6660,2440,
itskaygg,4150,5410,1260,
cjbsavage,3930,5620,1690,
liimiitz,3910,6010,2100,
danie1ol,3680,5310,1630,
0_supa,3220,5120,1900,
420f1tc00l,3160,5690,2530,
h1ghdoom,2830,4210,1380,
uncle_spawn,2670,5110,2440,
castleofcheese,2610,4740,2130,
devlin69yea,2460,4790,2330,
blkheroeseverywhere,2280,4750,2470,
justtattooed,2200,3850,1650,
olivialovesmerl,2060,3370,1310,
keyatron,2040,3480,1440,
emilyyxo4,2030,4200,2170,
whiteleyy_,1780,3230,1450,
kingquackatac,1490,3090,1600,
sspytex,1480,2760,1280,
viewer_of_irl,1420,3860,2440,
ghxstiyy_,1360,3630,2270,
roxesy,1340,3390,2050,
beardedstrumerwaitingroom,1290,3760,2470,
aliceydra,1260,3820,2560,
adumamum,1240,2500,1260,
heelkd,1160,3120,1960,
luckyjaay,1050,2670,1620,
fishkido,970,4890,3920,
frw33ds_kitten,950,3460,2510,
ffxivstyx,860,3350,2490,
postboxpat,850,2190,1340,
trooperkoopa,800,2400,1600,
jaydondidit,620,3100,2480,
jxmes,550,2710,2160,
bigboykadz1,530,2120,1590,
yolodisorder,520,2630,2110,
spazzyp254official,430,2910,2480,
itsfrenzybr,240,1900,1660,
m1kedoo,190,1670,1480,
miles_up,110,1630,1520,
xyla3x,40,1560,1520,
asshtoner,20,1310,1290,
georgiamarshall5401,10,1280,1270,
devrythinggg,10,1450,1440,
